transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,day_of_week,quarter,week_of_year,is_weekend,is_month_start,is_month_end,season
T4999,U018,2023-04-25,expense,others,3888.0,card,Ahmedabad,Movie tickets,2023,4,25,1,2,17,0,0,0,Spring
T12828,U133,2022-08-05,expense,rent,649.0,unknown,Hyderabad,asdfgh,2022,8,5,4,3,31,0,0,0,Summer
T7403,U091,2023-12-31,income,income,13239.0,cash,BAN,Books,2023,12,31,6,4,52,1,0,1,Winter
T7495,U088,2022-10-28,expense,entertainment,2287.0,card,Hyderabad,,2022,10,28,4,4,43,0,0,0,Fall
T12465,U042,2024-04-11,expense,food,4168.0,unknown,,test,2024,4,11,3,2,15,0,0,0,Spring
T4518,U026,2022-08-16,expense,education,828.0,card,Lucknow,Uber ride,2022,8,16,1,3,33,0,0,0,Summer
T0741,U053,2024-03-13,expense,utilities,5070.0,upi,KOL,Grocery shopping,2024,3,13,2,1,11,0,0,0,Spring
T9446,U006,2022-06-29,expense,others,5767.0,bank_transfer,BANGALORE,,2022,6,29,2,2,26,0,0,0,Summer
T3016,U099,2022-02-24,expense,others,23760.0,card,BANGALORE,Electricity bill,2022,2,24,3,1,8,0,0,0,Winter
T11564,U148,2023-08-28,expense,food,898.0,upi,LUC,Restaurant dinner,2023,8,28,0,3,35,0,0,0,Summer
T11382,U111,2023-06-02,income,income,25143.0,card,CHENNAI,,2023,6,2,4,2,22,0,0,0,Summer
T3133,U024,2024-07-17,expense,rent,9567.0,bank_transfer,PUNE,ATM withdrawal,2024,7,17,2,3,29,0,0,0,Summer
T7154,U039,2024-09-21,expense,food,222.0,upi,Bangalore,misc,2024,9,21,5,3,38,1,0,0,Fall
T2699,U092,2023-02-25,expense,travel,2553.0,upi,LUC,Doctor consultation,2023,2,25,5,1,8,1,0,0,Winter
T5774,U005,2021-02-14,expense,food,7406.0,card,BANGALORE,xyz123,2021,2,14,6,1,6,1,0,0,Winter
T12850,U076,2021-06-09,expense,rent,3010.0,upi,KOL,,2021,6,9,2,2,23,0,0,0,Summer
T5731,U027,2023-02-04,expense,food,2206.0,bank_transfer,,xyz123,2023,2,4,5,1,5,1,0,0,Winter
T0909,U013,2024-04-20,expense,entertainment,7038.0,card,JAI,Gym membership,2024,4,20,5,2,16,1,0,0,Spring
T7565,U075,2022-01-24,expense,others,4286.0,bank_transfer,hyderabad,,2022,1,24,0,1,4,0,0,0,Winter
T1653,U099,2024-12-16,expense,education,8119.0,card,Hyderabad,Books,2024,12,16,0,4,51,0,0,0,Winter
T6239,U150,2021-12-28,expense,education,4189.0,card,Bangalore,Uber ride,2021,12,28,1,4,52,0,0,0,Winter
T2849,U150,2022-10-10,expense,investment,19947.0,bank_transfer,LUCKNOW,Coffee,2022,10,10,0,4,41,0,0,0,Fall
T4949,U101,2023-01-03,expense,others,3865.0,bank_transfer,JAI,,2023,1,3,1,1,1,0,0,0,Winter
T3563,U007,2021-05-05,expense,travel,2407.0,card,CHE,Internet bill,2021,5,5,2,2,18,0,0,0,Spring
T10891,U055,2024-09-08,expense,food,3085.0,card,JAIPUR,Electricity bill,2024,9,8,6,3,36,1,0,0,Fall
T10872,U080,2023-02-22,expense,health,5252.0,unknown,Delhi,Online course,2023,2,22,2,1,8,0,0,0,Winter
T1215,U150,2023-12-29,expense,others,4823.0,cash,Ahmedabad,...,2023,12,29,4,4,52,0,0,0,Winter
T5293,U044,2021-02-23,expense,others,8497.0,unknown,KOLKATA,Gym membership,2021,2,23,1,1,8,0,0,0,Winter
T2003,U149,2021-04-15,expense,travel,8241.0,upi,,Movie tickets,2021,4,15,3,2,15,0,0,0,Spring
T9452,U062,2023-09-24,expense,rent,8579.0,bank_transfer,AHMEDABAD,...,2023,9,24,6,3,38,1,0,0,Fall
T4924,U082,2022-05-25,expense,food,235.0,card,CHENNAI,ATM withdrawal,2022,5,25,2,2,21,0,0,0,Spring
T11911,U069,2023-06-22,expense,others,1263.0,upi,lucknow,,2023,6,22,3,2,25,0,0,0,Summer
T11270,U022,2023-08-09,expense,health,2134.0,bank_transfer,JAI,Books,2023,8,9,2,3,32,0,0,0,Summer
T13032,U150,2021-06-19,expense,education,2228.0,cash,DELHI,Movie tickets,2021,6,19,5,2,24,1,0,0,Summer
T0361,U055,2023-08-16,expense,utilities,1081.0,card,PUNE,,2023,8,16,2,3,33,0,0,0,Summer
T7314,U103,2022-02-26,expense,entertainment,371.0,cash,MUM,Uber ride,2022,2,26,5,1,8,1,0,0,Winter
T11430,U108,2021-07-10,expense,food,225.0,card,Pune,!!!,2021,7,10,5,3,27,1,0,0,Summer
T12663,U052,2023-04-15,expense,rent,23776.0,upi,Bangalore,Doctor consultation,2023,4,15,5,2,15,1,0,0,Spring
T6106,U008,2023-04-23,expense,health,6707.0,card,DELHI,,2023,4,23,6,2,16,1,0,0,Spring
T1623,U017,2021-04-10,expense,others,601.0,bank_transfer,JAIPUR,Medicine,2021,4,10,5,2,14,1,0,0,Spring
T13765,U034,2024-09-05,expense,others,3219.0,cash,hyderabad,Internet bill,2024,9,5,3,3,36,0,0,0,Fall
