transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,2023-04-25,Expense,Education,3888.0,Card,Ahmedabad,Movie tickets
T12828,U133,2022-08-05,Expense,Rent,649.0,Unknown,Hyderabad,asdfgh
T7403,U091,2023-12-31,Income,Freelance,13239.0,Cash,BAN,Books
T7495,U088,2022-10-28,Expense,Entertainment,2287.0,Card,Hyderabad,No notes
T12465,U042,2024-04-11,Expense,Food,4168.0,Unknown,Unknown,test
T9824,U061,2024-12-12,Income,Salary,62061.0,Card,AHM,...
T12403,U004,2023-11-10,Income,Others,59543.0,UPI,LUC,Gym membership
T5282,U016,2022-04-15,Expense,Utilities,999999999.0,Card,DEL,No notes
T9446,U006,2022-06-29,Expense,Utilities,5767.0,Bank Transfer,BANGALORE,No notes
T3016,U099,2022-02-24,Expense,Rent,23760.0,Card,BANGALORE,Electricity bill
T11564,U148,2023-08-28,Expense,Food,898.0,UPI,LUC,Restaurant dinner
T11382,U111,2023-06-02,Income,Freelance,25143.0,Card,CHENNAI,No notes
T3133,U024,2024-07-17,Expense,Rent,9567.0,Bank Transfer,PUNE,ATM withdrawal
T1982,U089,2021-02-27,Income,Others,49683.0,Unknown,lucknow,xyz123
T7154,U039,2024-09-21,Expense,Food,222.0,UPI,Bangalore,misc
T5774,U005,2021-02-14,Expense,Food,7406.0,Card,BANGALORE,xyz123
T12850,U076,2021-06-09,Expense,Rent,3010.0,UPI,KOL,No notes
T6195,U038,2024-11-20,Income,Salary,855881.0,Bank Transfer,Jaipur,No notes
T5731,U027,2023-02-04,Expense,Food,2206.0,Bank Transfer,Unknown,xyz123
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,Card,JAI,Gym membership
T7565,U075,2022-01-24,Expense,Travel,4286.0,Bank Transfer,hyderabad,No notes
T1653,U099,2024-12-16,Expense,Education,8119.0,Card,Hyderabad,Books
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank Transfer,LUCKNOW,Coffee
